"property_id","target_date","room_type_code","horizon_days","prediction_cutoff_date","prediction_cutoff_at_utc","available_room_nights","inventory_plan_known","booking_on_hand","cancelled_on_hand","booking_on_hand_ratio","rooms_sold_cutoff_lag_1","rooms_sold_cutoff_lag_7","rooms_sold_cutoff_lag_14","rooms_sold_cutoff_rolling_mean_7","rooms_sold_cutoff_rolling_mean_28","adr_cutoff_lag_7","cancellation_rate_cutoff_lag_28","target_day_of_week","target_month","target_is_weekend","target_is_month_start","target_is_month_end","target_is_public_holiday","target_is_holiday_eve","target_season_code","domestic_travel_index","inbound_travel_index","event_demand_index","weather_scenario_code","data_period_status","is_forecast","dataset_split","label_available","rooms_sold","is_synthetic","generation_seed","schema_version","scenario_version","fixture_version","generated_at"
"SYNTHETIC_HOTEL_001","2026-07-29","DELUXE","1","2026-07-28","2026-07-28 14:59:59+00","89","1","52","4","0.584270","63","51","51","59.285714","59.428571","248714.29","0.074741","3","7","false","false","false","false","false","SUMMER","1.216441","1.188330","0.987034","NORMAL_SCENARIO","FORECAST_SCENARIO","true","FORECAST","false","","true","20260803","room-demand-synth-schema-v1.0","room-demand-synth-scenario-v1.0","room-demand-synth-fixture-v1.0","2026-08-03 03:00:00+00"
"SYNTHETIC_HOTEL_001","2026-07-29","RESIDENCE","1","2026-07-28","2026-07-28 14:59:59+00","20","0","11","1","0.550000","12","12","11","10.857143","11.392857","346714.29","0.065527","3","7","false","false","false","false","false","SUMMER","1.216441","1.188330","0.987034","NORMAL_SCENARIO","FORECAST_SCENARIO","true","FORECAST","false","","true","20260803","room-demand-synth-schema-v1.0","room-demand-synth-scenario-v1.0","room-demand-synth-fixture-v1.0","2026-08-03 03:00:00+00"
"SYNTHETIC_HOTEL_001","2026-07-29","STANDARD","1","2026-07-28","2026-07-28 14:59:59+00","149","1","98","7","0.657718","101","105","87","106.000000","103.035714","175428.57","0.053883","3","7","false","false","false","false","false","SUMMER","1.216441","1.188330","0.987034","NORMAL_SCENARIO","FORECAST_SCENARIO","true","FORECAST","false","","true","20260803","room-demand-synth-schema-v1.0","room-demand-synth-scenario-v1.0","room-demand-synth-fixture-v1.0","2026-08-03 03:00:00+00"
"SYNTHETIC_HOTEL_001","2026-07-29","SUITE","1","2026-07-28","2026-07-28 14:59:59+00","40","1","20","1","0.500000","22","20","22","22.142857","21.607143","469000.00","0.072289","3","7","false","false","false","false","false","SUMMER","1.216441","1.188330","0.987034","NORMAL_SCENARIO","FORECAST_SCENARIO","true","FORECAST","false","","true","20260803","room-demand-synth-schema-v1.0","room-demand-synth-scenario-v1.0","room-demand-synth-fixture-v1.0","2026-08-03 03:00:00+00"
"SYNTHETIC_HOTEL_001","2026-07-30","DELUXE","2","2026-07-28","2026-07-28 14:59:59+00","88","1","45","3","0.511364","63","51","51","59.285714","59.428571","248714.29","0.074741","4","7","false","false","false","false","false","SUMMER","1.205296","1.179972","0.977747","NORMAL_SCENARIO","FORECAST_SCENARIO","true","FORECAST","false","","true","20260803","room-demand-synth-schema-v1.0","room-demand-synth-scenario-v1.0","room-demand-synth-fixture-v1.0","2026-08-03 03:00:00+00"
"SYNTHETIC_HOTEL_001","2026-07-30","RESIDENCE","2","2026-07-28","2026-07-28 14:59:59+00","19","1","10","1","0.526316","12","12","11","10.857143","11.392857","346714.29","0.065527","4","7","false","false","false","false","false","SUMMER","1.205296","1.179972","0.977747","NORMAL_SCENARIO","FORECAST_SCENARIO","true","FORECAST","false","","true","20260803","room-demand-synth-schema-v1.0","room-demand-synth-scenario-v1.0","room-demand-synth-fixture-v1.0","2026-08-03 03:00:00+00"
"SYNTHETIC_HOTEL_001","2026-07-30","STANDARD","2","2026-07-28","2026-07-28 14:59:59+00","150","1","99","4","0.660000","101","105","87","106.000000","103.035714","175428.57","0.053883","4","7","false","false","false","false","false","SUMMER","1.205296","1.179972","0.977747","NORMAL_SCENARIO","FORECAST_SCENARIO","true","FORECAST","false","","true","20260803","room-demand-synth-schema-v1.0","room-demand-synth-scenario-v1.0","room-demand-synth-fixture-v1.0","2026-08-03 03:00:00+00"
"SYNTHETIC_HOTEL_001","2026-07-30","SUITE","2","2026-07-28","2026-07-28 14:59:59+00","39","1","17","1","0.435897","22","20","22","22.142857","21.607143","469000.00","0.072289","4","7","false","false","false","false","false","SUMMER","1.205296","1.179972","0.977747","NORMAL_SCENARIO","FORECAST_SCENARIO","true","FORECAST","false","","true","20260803","room-demand-synth-schema-v1.0","room-demand-synth-scenario-v1.0","room-demand-synth-fixture-v1.0","2026-08-03 03:00:00+00"
"SYNTHETIC_HOTEL_001","2026-07-31","DELUXE","3","2026-07-28","2026-07-28 14:59:59+00","90","0","51","2","0.566667","63","51","51","59.285714","59.428571","248714.29","0.074741","5","7","false","false","true","false","false","SUMMER","1.226776","1.196082","0.995647","NORMAL_SCENARIO","FORECAST_SCENARIO","true","FORECAST","false","","true","20260803","room-demand-synth-schema-v1.0","room-demand-synth-scenario-v1.0","room-demand-synth-fixture-v1.0","2026-08-03 03:00:00+00"
"SYNTHETIC_HOTEL_001","2026-07-31","RESIDENCE","3","2026-07-28","2026-07-28 14:59:59+00","20","1","11","1","0.550000","12","12","11","10.857143","11.392857","346714.29","0.065527","5","7","false","false","true","false","false","SUMMER","1.226776","1.196082","0.995647","NORMAL_SCENARIO","FORECAST_SCENARIO","true","FORECAST","false","","true","20260803","room-demand-synth-schema-v1.0","room-demand-synth-scenario-v1.0","room-demand-synth-fixture-v1.0","2026-08-03 03:00:00+00"
